19,16
24,15
27,16
29,15
35,15
46,15
52,16
53,16
63,16
66,12
76,14
81,15
83,16
86,16
87,15
95,14
96,14
112,15
115,15
127,16
134,16
137,14
140,16
145,16
151,12
154,16
155,16
156,14
161,16
163,16
168,16
174,16
186,15
200,16
224,14
261,15
263,13
268,16
280,14
288,16
292,16
295,16
297,15
300,14
332,16
335,15
336,16
340,16
349,16
354,16
365,15
373,16
375,16
385,16
388,14
391,16
393,16
394,16
398,16
401,15
405,16
413,14
415,16
417,15
418,15
429,16
433,13
439,10
443,16
450,16
476,16
480,15
485,15
489,15
490,14
492,16
496,0
505,12
506,15
514,16
519,13
524,16
526,15
529,12
535,15
543,16
550,16
554,15
555,16
568,15
573,14
580,15
583,15
586,11
590,16
603,14
607,13
615,15
617,16
618,15
621,15
640,16
643,16
646,16
651,16
660,14
666,15
673,14
674,14
676,16
678,16
683,15
684,15
687,16
702,16
703,16
704,16
705,15
709,16
710,15
717,15
719,15
720,15
721,16
728,16
740,15
743,16
746,15
750,16
752,15
757,16
762,16
766,15
772,16
773,16
775,15
778,14
780,15
786,15
798,16
